date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:24:08	6328/6328	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:54:09%20GMT	http://www.alliedmaintenance.co.in/services.rss	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/services-2.html	(from http://www.alliedmaintenance.co.in/)
01:24:08	454/454	---M--	200	added ('OK')	image/png	etag:%22194770-1c6-fc1faa40%22	http://catalog.wlimg.com/templates-images/12569/common/rss_icon.png	C:/My%20Web%20Sites/allied/catalog.wlimg.com/templates-images/12569/common/rss_icon.png	(from http://www.alliedmaintenance.co.in/)
01:24:09	3658/3658	---M--	200	added ('OK')	image/png	etag:%223668cc1-e4a-2ffb8c40%22	http://catalog.wlimg.com/main-common/ei.png	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/ei.png	(from http://www.alliedmaintenance.co.in/)
01:24:09	2107/2107	---M--	200	added ('OK')	image/png	etag:%22366932d-83b-8cfa75c0%22	http://catalog.wlimg.com/main-common/zoom.png	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/zoom.png	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:23	193768/193768	---MCZ	200	added ('OK')	text/plain	etag:%221487f-2f4e8-c0dae800%22	http://catalog.wlimg.com/main-common/fonts/icomoon.eot	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/icomoon.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:24	193604/193604	---M-Z	200	added ('OK')	text/plain	etag:%221487d-2f444-c0cba5c0%22	http://catalog.wlimg.com/main-common/fonts/icomoon.ttf	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/icomoon.ttf	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:24	193680/193680	---M-Z	200	added ('OK')	application/x-font-woff	etag:%221487c-2f490-c0cba5c0%22	http://catalog.wlimg.com/main-common/fonts/icomoon.woff	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/icomoon.woff	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:24	193768/193768	---MCZ	200	added ('OK')	text/plain	etag:%221487f-2f4e8-c0dae800%22	http://catalog.wlimg.com/main-common/fonts/icomoon.eot?	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/icomoond41d.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:25	25428/25428	---M-Z	200	added ('OK')	application/x-font-woff	etag:%221487b-6354-88021740%22	http://catalog.wlimg.com/main-common/fonts/alexbrush.woff	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/alexbrush.woff	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:28	126609/126609	---M-Z	200	added ('OK')	text/xml	etag:%2214871-1ee91-87c50e40%22	http://catalog.wlimg.com/main-common/fonts/alexbrush.svg	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/alexbrush.svg	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:30	26474/26474	---M-Z	200	added ('OK')	text/plain	etag:%221486e-676a-87b5cc00%22	http://catalog.wlimg.com/main-common/fonts/allan.eot	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/allan.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:32	46488/46488	---M-Z	200	added ('OK')	text/plain	etag:%221484c-b598-86feb100%22	http://catalog.wlimg.com/main-common/fonts/allan.ttf	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/allan.ttf	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:32	26474/26474	---M-Z	200	added ('OK')	text/plain	etag:%221486e-676a-87b5cc00%22	http://catalog.wlimg.com/main-common/fonts/allan.eot?	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/alland41d.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:33	29576/29576	---M-Z	200	added ('OK')	application/x-font-woff	etag:%221485c-7388-875a3e80%22	http://catalog.wlimg.com/main-common/fonts/allan.woff	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/allan.woff	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:38	39904/39904	---M-Z	200	added ('OK')	application/x-font-woff	etag:%2214860-9be0-876980c0%22	http://catalog.wlimg.com/main-common/fonts/carterone.woff	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/carterone.woff	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:39	22855/22855	---M-Z	200	added ('OK')	text/plain	etag:%221485f-5947-875a3e80%22	http://catalog.wlimg.com/main-common/fonts/chewy.eot	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/chewy.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:43	22855/22855	---M-Z	200	added ('OK')	text/plain	etag:%221485f-5947-875a3e80%22	http://catalog.wlimg.com/main-common/fonts/chewy.eot?	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/chewyd41d.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:43	40308/40308	---M-Z	200	added ('OK')	text/plain	etag:%221485e-9d74-875a3e80%22	http://catalog.wlimg.com/main-common/fonts/chewy.ttf	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/chewy.ttf	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:44	24524/24524	---M-Z	200	added ('OK')	application/x-font-woff	etag:%2214837-5fcc-8656d840%22	http://catalog.wlimg.com/main-common/fonts/chewy.woff	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/chewy.woff	(from http://catalog.wlimg.com/main-common/catalog_common.css)
